"","Ranking","Station","CrossEffScores","Model"
"48",1,"Kakarvitta Q2",0.953751516921242,2
"49",2,"Lahan Q2",0.943916387546902,2
"50",3,"Kakarvitta Q1",0.913411412892102,2
"51",4,"Lahan Q3",0.881487629721703,2
"52",5,"Kakarvitta Q7",0.869249123220964,2
"53",6,"Nepalgunj Q1",0.854407716098554,2
"54",7,"Kakarvitta Q3",0.840986448752769,2
"55",8,"Kakarvitta Q8",0.835920739708848,2
"56",9,"Kakarvitta Q5",0.827683460973995,2
"57",10,"Nepalgunj Q3",0.81548329723044,2
"58",11,"Bhadrapur Q7",0.806375178775492,2
"59",12,"Nepalgunj Q8",0.793642889824907,2
"60",13,"Bhadrapur Q2",0.784150133862341,2
"61",14,"Nepalgunj Q6",0.783400404223175,2
"62",15,"Bhairawa Q2",0.783365587274482,2
"63",16,"Bhadrapur Q6",0.783085436870466,2
"64",17,"Bhadrapur Q4",0.772319563413927,2
"65",18,"Bhadrapur Q8",0.771907331060164,2
"66",19,"Biratnagar Q8",0.769947032097837,2
"67",20,"Lahan Q7",0.769722089329516,2
"68",21,"Bhairawa Q6",0.766702176731627,2
"69",22,"Bhairawa Q1",0.763375464159504,2
"70",23,"Lahan Q1",0.76222992206661,2
"71",24,"Nepalgunj Q2",0.757993740023026,2
"72",25,"Biratnagar Q7",0.756736417057287,2
"73",26,"Bhairawa Q7",0.745385702456293,2
"74",27,"Kakarvitta Q6",0.745110244038616,2
"75",28,"Bhadrapur Q1",0.736841926200777,2
"76",29,"Bhairawa Q8",0.71259024729681,2
"77",30,"Nepalgunj Q4",0.706717214525387,2
"78",31,"Lahan Q4",0.690720710575228,2
"79",32,"Kakarvitta Q4",0.684929440772978,2
"80",33,"Lahan Q6",0.67379882051547,2
"81",34,"Bhadrapur Q5",0.665171132784838,2
"82",35,"Lahan Q8",0.635037182839255,2
"83",36,"Bhairawa Q5",0.62505703517922,2
"84",37,"Bhairawa Q3",0.615072268320471,2
"85",38,"Nepalgunj Q5",0.596540291783772,2
"86",39,"Biratnagar Q1",0.562386880765236,2
"87",40,"Biratnagar Q3",0.552209776339949,2
"88",41,"Biratnagar Q5",0.55173992304412,2
"89",42,"Bhadrapur Q3",0.551737274617527,2
"90",43,"Biratnagar Q6",0.539208057006522,2
"91",44,"Biratnagar Q2",0.526132550475224,2
"92",45,"Bhairawa Q4",0.509979465146644,2
"93",46,"Biratnagar Q4",0.490779067750313,2
"94",47,"Nepalgunj Q7",0.430316439656781,2
"95",1,"Lahan Q2",0.947184749194197,3
"96",2,"Kakarvitta Q2",0.939155119400461,3
"97",3,"Kakarvitta Q1",0.924694514264263,3
"98",4,"Bhairawa Q2",0.907455425184011,3
"99",5,"Lahan Q3",0.9046885604826,3
"100",6,"Kakarvitta Q7",0.90150238211795,3
"101",7,"Kakarvitta Q3",0.899377449941263,3
"102",8,"Nepalgunj Q1",0.897248955010172,3
"103",9,"Bhairawa Q6",0.897247202152755,3
"104",10,"Bhairawa Q1",0.89622294169092,3
"105",11,"Kakarvitta Q5",0.889718070228614,3
"106",12,"Lahan Q1",0.888353591441286,3
"107",13,"Nepalgunj Q2",0.881841414509141,3
"108",14,"Kakarvitta Q8",0.877746938432054,3
"109",15,"Bhairawa Q8",0.877356091144614,3
"110",16,"Bhairawa Q5",0.873516171377881,3
"111",17,"Bhairawa Q3",0.871614115786611,3
"112",18,"Bhairawa Q7",0.869390114098533,3
"113",19,"Kakarvitta Q4",0.868969274912305,3
"114",20,"Bhadrapur Q2",0.868265697165866,3
"115",21,"Nepalgunj Q6",0.866723020423633,3
"116",22,"Nepalgunj Q3",0.866599985183982,3
"117",23,"Kakarvitta Q6",0.866487797873755,3
"118",24,"Nepalgunj Q8",0.863077388704808,3
"119",25,"Biratnagar Q7",0.862445545923108,3
"120",26,"Lahan Q7",0.86242981511073,3
"121",27,"Nepalgunj Q4",0.860544345631193,3
"122",28,"Lahan Q6",0.85340740984777,3
"123",29,"Bhadrapur Q8",0.852444292803124,3
"124",30,"Lahan Q8",0.851652538333355,3
"125",31,"Bhadrapur Q4",0.849214340853523,3
"126",32,"Biratnagar Q8",0.846934236825746,3
"127",33,"Bhadrapur Q7",0.842090698014754,3
"128",34,"Bhadrapur Q6",0.841366530133989,3
"129",35,"Bhairawa Q4",0.836006175790784,3
"130",36,"Lahan Q4",0.835259705345668,3
"131",37,"Biratnagar Q1",0.832976812807622,3
"132",38,"Nepalgunj Q5",0.830723496937414,3
"133",39,"Biratnagar Q5",0.828404726461073,3
"134",40,"Biratnagar Q3",0.825854252767449,3
"135",41,"Bhadrapur Q5",0.819064865640708,3
"136",42,"Biratnagar Q2",0.817896972089078,3
"137",43,"Bhadrapur Q1",0.815491119905466,3
"138",44,"Biratnagar Q4",0.815464631687945,3
"139",45,"Bhadrapur Q3",0.799108999182416,3
"140",46,"Nepalgunj Q7",0.793752853878921,3
"141",47,"Biratnagar Q6",0.7784426938254,3
"142",1,"Lahan Q2",0.947296162598534,4
"143",2,"Kakarvitta Q2",0.938545281904263,4
"144",3,"Kakarvitta Q1",0.925345371543038,4
"145",4,"Bhairawa Q2",0.902556533515425,4
"146",5,"Lahan Q3",0.901915710237016,4
"147",6,"Nepalgunj Q1",0.895930297970134,4
"148",7,"Kakarvitta Q3",0.89187106332717,4
"149",8,"Bhairawa Q6",0.890622450686814,4
"150",9,"Kakarvitta Q7",0.8884451320605,4
"151",10,"Lahan Q1",0.878744152736251,4
"152",11,"Bhairawa Q1",0.877933083420587,4
"153",12,"Nepalgunj Q2",0.87393179697999,4
"154",13,"Kakarvitta Q8",0.873571535099561,4
"155",14,"Bhairawa Q8",0.87076830290916,4
"156",15,"Kakarvitta Q5",0.868092293888176,4
"157",16,"Nepalgunj Q3",0.865131276047174,4
"158",17,"Bhadrapur Q2",0.864710751564601,4
"159",18,"Bhairawa Q5",0.862375099826991,4
"160",19,"Nepalgunj Q8",0.861072716844896,4
"161",20,"Lahan Q7",0.859062443886879,4
"162",21,"Bhairawa Q7",0.85833758949678,4
"163",22,"Kakarvitta Q6",0.857772489177289,4
"164",23,"Biratnagar Q7",0.856330850768583,4
"165",24,"Bhairawa Q3",0.854519308479823,4
"166",25,"Kakarvitta Q4",0.853791783078389,4
"167",26,"Bhadrapur Q8",0.849360982164405,4
"168",27,"Nepalgunj Q4",0.847787566940305,4
"169",28,"Bhadrapur Q4",0.846505215209272,4
"170",29,"Lahan Q8",0.8421216168721,4
"171",30,"Lahan Q6",0.835865756070718,4
"172",31,"Nepalgunj Q6",0.835323481931668,4
"173",32,"Biratnagar Q8",0.830584029336676,4
"174",33,"Bhadrapur Q7",0.830567994903708,4
"175",34,"Bhadrapur Q6",0.829835973855625,4
"176",35,"Lahan Q4",0.829771298451354,4
"177",36,"Bhairawa Q4",0.821827059884244,4
"178",37,"Biratnagar Q1",0.820196159750102,4
"179",38,"Nepalgunj Q5",0.819479743942437,4
"180",39,"Biratnagar Q3",0.812916180746269,4
"181",40,"Bhadrapur Q1",0.812707735305584,4
"182",41,"Bhadrapur Q5",0.811894677668419,4
"183",42,"Biratnagar Q5",0.809504905808155,4
"184",43,"Biratnagar Q2",0.80097349379895,4
"185",44,"Biratnagar Q4",0.795651528437326,4
"186",45,"Bhadrapur Q3",0.78729403578745,4
"187",46,"Nepalgunj Q7",0.775526912665066,4
"188",47,"Biratnagar Q6",0.759767801210969,4
"189",1,"Lahan Q2",0.941196758870869,5
"190",2,"Kakarvitta Q2",0.932688505029839,5
"191",3,"Kakarvitta Q1",0.916684996588945,5
"192",4,"Lahan Q3",0.901487476308013,5
"193",5,"Kakarvitta Q7",0.899105738462279,5
"194",6,"Bhairawa Q2",0.897628033920295,5
"195",7,"Kakarvitta Q3",0.894884341484583,5
"196",8,"Bhairawa Q1",0.894697322058843,5
"197",9,"Nepalgunj Q1",0.892435362827416,5
"198",10,"Bhairawa Q6",0.892354120850244,5
"199",11,"Kakarvitta Q5",0.887026372021781,5
"200",12,"Lahan Q1",0.884320401464318,5
"201",13,"Nepalgunj Q2",0.876696977176576,5
"202",14,"Kakarvitta Q8",0.874072392153091,5
"203",15,"Bhairawa Q8",0.870979295912261,5
"204",16,"Bhairawa Q7",0.869768075733945,5
"205",17,"Bhairawa Q3",0.866019291998868,5
"206",18,"Nepalgunj Q3",0.863697823415349,5
"207",19,"Bhairawa Q5",0.862725358891304,5
"208",20,"Bhadrapur Q2",0.862143363901976,5
"209",21,"Nepalgunj Q8",0.861017862339894,5
"210",22,"Kakarvitta Q4",0.859495808387275,5
"211",23,"Kakarvitta Q6",0.859182809697866,5
"212",24,"Lahan Q7",0.857334773775233,5
"213",25,"Nepalgunj Q4",0.856741525182058,5
"214",26,"Biratnagar Q7",0.856133615785329,5
"215",27,"Lahan Q6",0.854163171384108,5
"216",28,"Biratnagar Q8",0.85175267720892,5
"217",29,"Bhadrapur Q8",0.848778459216493,5
"218",30,"Bhadrapur Q6",0.847437039702005,5
"219",31,"Bhadrapur Q7",0.845141860945756,5
"220",32,"Bhadrapur Q4",0.844639017783785,5
"221",33,"Lahan Q8",0.843816177134758,5
"222",34,"Nepalgunj Q6",0.834352830616905,5
"223",35,"Lahan Q4",0.827428009446757,5
"224",36,"Bhairawa Q4",0.824437848635428,5
"225",37,"Nepalgunj Q5",0.822657118242247,5
"226",38,"Biratnagar Q1",0.820629495946439,5
"227",39,"Biratnagar Q5",0.820113803749279,5
"228",40,"Biratnagar Q3",0.813117118229957,5
"229",41,"Bhadrapur Q5",0.812233716900898,5
"230",42,"Bhadrapur Q1",0.810267244569806,5
"231",43,"Biratnagar Q2",0.808062431249922,5
"232",44,"Biratnagar Q4",0.805094137291401,5
"233",45,"Bhadrapur Q3",0.789389797921632,5
"234",46,"Nepalgunj Q7",0.782611978534889,5
"235",47,"Biratnagar Q6",0.775091955150976,5
